"Order";"MS.Zoning";"Lot.Area";"Alley";"Neighborhood";"Overall.Qual";"Year.Built";"Year.Remod.Add";"X1st.Flr.SF";"X2nd.Flr.SF";"Gr.Liv.Area";"Total.Bsmt.SF";"Bsmt.Full.Bath";"Bsmt.Half.Bath";"Full.Bath";"Half.Bath";"TotRms.AbvGrd";"Garage.Cars";"Garage.Area";"Yr.Sold";"Sale.Condition";"SalePrice"
38;"RL";11478;NA;"NridgHt";8;2007;2008;1704;0;1704;1704;1;0;2;0;7;3;772;2010;"Normal";306000
39;"RL";10159;NA;"NridgHt";9;2009;2010;1940;0;1940;1930;1;0;2;1;8;3;606;2010;"Partial";395192
40;"RL";12883;NA;"NridgHt";8;2009;2010;1544;0;1544;1544;0;0;2;0;7;3;868;2010;"Partial";290941
41;"RL";12182;NA;"NridgHt";7;2005;2005;1541;0;1541;1541;0;0;2;0;7;2;532;2010;"Partial";220000
42;"RL";11520;NA;"NridgHt";9;2005;2005;1698;0;1698;1698;0;0;2;0;7;3;730;2010;"Normal";275000
43;"RL";14122;NA;"NridgHt";8;2005;2006;1822;0;1822;1822;0;0;2;0;8;3;678;2010;"Normal";259000
44;"RL";10171;NA;"NridgHt";7;2004;2004;1535;0;1535;1517;0;0;2;0;7;2;532;2010;"Normal";214000
45;"RL";12919;NA;"NridgHt";9;2009;2010;2364;0;2364;2330;1;0;2;1;11;3;820;2010;"Partial";611657
46;"RL";6371;NA;"NridgHt";7;2009;2010;1358;0;1358;1358;1;0;2;0;6;2;484;2010;"Partial";224000
47;"RL";14300;NA;"NridgHt";9;2003;2004;2696;0;2696;2846;1;0;2;1;10;3;958;2010;"Normal";500000
48;"RL";13650;NA;"NridgHt";8;2002;2002;1687;563;2250;1671;1;0;2;1;7;3;756;2010;"Normal";320000
49;"RL";7658;NA;"NridgHt";9;2005;2005;1752;0;1752;1752;1;0;2;0;6;2;576;2010;"Normal";319900
50;"RL";7132;NA;"NridgHt";8;2006;2006;1370;0;1370;1370;0;0;2;0;6;2;484;2010;"Normal";205000
51;"RL";2628;NA;"NridgHt";7;2003;2003;764;862;1626;764;0;0;2;1;6;2;474;2010;"Normal";175500
52;"RL";18494;NA;"Gilbert";6;2005;2005;1324;0;1324;1324;0;0;2;0;6;2;430;2010;"Normal";199500
53;"RL";3203;NA;"Blmngtn";7;2006;2006;1145;0;1145;1145;0;0;2;0;6;2;437;2010;"Normal";160000
54;"RL";3182;NA;"Blmngtn";8;2004;2005;1269;0;1269;1256;0;0;2;0;6;2;430;2010;"Normal";192000
55;"RL";13300;NA;"Gilbert";7;2004;2004;744;630;1374;384;1;0;2;1;7;2;400;2010;"Normal";184500
56;"RL";7851;NA;"Gilbert";6;2002;2002;860;1100;1960;860;1;0;2;1;8;2;440;2010;"Normal";216500
57;"RL";8577;NA;"Gilbert";7;2004;2004;847;886;1733;847;0;0;2;1;7;2;433;2010;"Normal";185088
58;"RL";7750;NA;"Gilbert";7;2000;2000;774;656;1430;384;0;0;2;1;7;2;400;2010;"Normal";180000
59;"RL";9505;NA;"Gilbert";7;2001;2001;884;1151;2035;884;0;0;2;1;8;2;434;2010;"Normal";222500
60;"RL";14774;NA;"NoRidge";9;1999;1999;1422;1177;2599;1393;0;0;2;1;10;3;779;2010;"Normal";333168
61;"RL";17433;NA;"NoRidge";8;1998;1998;1645;830;2475;1629;0;0;2;1;7;3;962;2010;"Normal";355000
62;"RL";10593;NA;"NoRidge";7;1996;1996;1720;0;1720;1720;1;0;2;0;7;2;527;2010;"Normal";260400
63;"RL";12256;NA;"NoRidge";8;1994;1995;1500;1122;2622;1463;1;0;2;1;9;2;712;2010;"Normal";325000
64;"RL";11764;NA;"NoRidge";8;1999;2007;1164;1106;2270;1152;0;0;2;1;9;3;671;2010;"Normal";290000
65;"RL";16770;NA;"NoRidge";7;1998;1998;1195;644;1839;1195;0;0;2;1;7;2;486;2010;"Normal";221000
66;"RL";14720;NA;"NoRidge";8;1995;1996;2053;1185;3238;2033;1;0;2;1;9;3;666;2010;"Normal";410000
67;"RL";8987;NA;"Somerst";8;2005;2006;1595;0;1595;1595;0;0;2;0;6;3;880;2010;"Normal";221500
68;"FV";9215;NA;"Somerst";7;2009;2010;1218;0;1218;1218;0;0;2;0;4;2;676;2010;"Partial";204500
69;"FV";8640;NA;"Somerst";7;2009;2009;764;783;1547;756;0;0;2;1;7;2;614;2010;"Normal";215200
70;"FV";9000;NA;"Somerst";8;2008;2008;1566;0;1566;1566;1;0;2;0;7;2;750;2010;"Normal";262500
71;"FV";12552;NA;"Somerst";7;2004;2005;991;956;1947;991;0;0;2;1;8;2;678;2010;"Normal";254900
72;"FV";10440;NA;"Somerst";6;2005;2005;1468;0;1468;1468;1;0;2;0;6;2;528;2010;"Normal";271500
73;"RL";10142;NA;"SawyerW";7;2004;2004;956;1128;2084;956;1;0;2;1;8;2;618;2010;"Normal";233000
74;"RL";11920;NA;"SawyerW";7;2004;2004;831;828;1659;831;0;0;2;1;8;2;484;2010;"Normal";181000
75;"RL";8880;NA;"SawyerW";7;1994;2002;1222;888;2110;948;1;0;2;1;8;2;463;2010;"Normal";205000
76;"RL";8012;NA;"SawyerW";6;1980;1980;923;0;923;923;0;0;2;0;5;1;264;2010;"Normal";143000
77;"RL";11218;NA;"SawyerW";6;1992;1992;1055;790;1845;1055;0;0;2;1;8;2;462;2010;"Normal";189000
78;"RL";7892;NA;"SawyerW";6;1979;1979;918;0;918;918;0;0;2;0;5;1;264;2010;"Normal";99500
79;"RL";7175;NA;"SawyerW";6;1984;1984;752;0;752;744;1;0;1;0;4;1;264;2010;"Normal";125000
80;"RL";9453;NA;"SawyerW";7;1993;2003;1014;730;1744;996;0;0;2;1;7;2;457;2010;"Normal";194500
81;"RL";9672;NA;"SawyerW";6;1984;1985;1097;0;1097;1040;0;0;2;0;6;2;480;2010;"Normal";152000
82;"RL";8400;NA;"SawyerW";6;1980;1981;888;676;1564;650;0;0;2;1;7;2;476;2010;"Normal";171000
83;"RH";9800;NA;"SawyerW";5;1920;1950;1012;0;1012;816;0;0;1;0;5;1;429;2010;"Normal";67500
84;"RM";8930;NA;"Sawyer";6;1978;1978;1318;584;1902;0;0;0;2;0;8;2;539;2010;"Normal";112000
85;"RL";11782;NA;"Sawyer";5;1961;1995;1155;0;1155;1109;1;0;1;0;6;2;576;2010;"Normal";148000
86;"RL";8450;NA;"Sawyer";5;1965;2009;894;0;894;894;1;0;1;0;5;1;336;2010;"Normal";138500
87;"RL";9819;NA;"Sawyer";5;1967;1967;900;0;900;882;0;0;1;0;5;1;280;2010;"Normal";122000
88;"RL";7500;NA;"Sawyer";5;1963;1963;1040;0;1040;1040;1;0;1;1;5;1;308;2010;"Normal";133000
89;"RL";6897;NA;"Sawyer";5;1962;2010;1040;0;1040;1040;1;0;1;1;6;1;260;2010;"Normal";127000
90;"RL";15410;NA;"Sawyer";6;1974;2002;1494;0;1494;1208;1;0;2;0;7;2;461;2010;"Abnorml";169000
91;"RL";10186;NA;"NoRidge";7;1992;1992;1061;862;1923;750;1;0;2;1;8;2;564;2010;"Normal";190000
92;"RL";13143;NA;"NoRidge";8;1993;1993;1251;1098;2349;1231;1;0;2;1;9;3;762;2010;"Normal";362500
93;"RL";11134;NA;"NoRidge";8;1992;1993;1402;823;2225;1390;1;0;2;1;7;3;713;2010;"Normal";285000
94;"FV";4835;NA;"Somerst";7;2004;2005;1488;0;1488;1488;1;0;2;0;6;2;506;2010;"Normal";260000
95;"FV";3515;"Pave";"Somerst";7;2004;2004;840;840;1680;840;0;0;2;1;3;2;588;2010;"Normal";190000
96;"FV";3215;"Pave";"Somerst";7;2004;2004;600;600;1200;600;0;0;2;1;4;2;480;2010;"Normal";155000
97;"FV";3182;"Pave";"Somerst";7;2004;2005;600;600;1200;600;0;0;2;1;4;2;480;2010;"Normal";151000
98;"FV";2544;"Pave";"Somerst";7;2004;2005;600;600;1200;600;1;0;2;1;4;2;480;2010;"Normal";149500
99;"FV";2544;"Pave";"Somerst";6;2005;2005;600;636;1236;600;1;0;2;1;4;2;480;2010;"Normal";152000
100;"FV";4403;NA;"Somerst";7;2009;2009;1478;0;1478;1470;1;0;2;1;7;2;484;2010;"Partial";222000
101;"FV";2117;NA;"Somerst";6;2000;2000;769;804;1573;756;0;0;2;1;5;2;440;2010;"Normal";177500
102;"FV";2980;NA;"Somerst";6;2000;2000;756;756;1512;756;1;0;2;1;5;2;440;2010;"Normal";177000
103;"FV";2572;NA;"Somerst";7;1999;1999;696;720;1416;696;1;0;2;1;6;2;484;2010;"Normal";155000
104;"FV";2403;NA;"Somerst";7;2003;2003;530;550;1080;530;0;0;2;1;4;2;496;2010;"Normal";147110
105;"FV";12853;"Pave";"Somerst";8;2010;2010;1418;0;1418;1642;1;0;1;1;6;3;852;2010;"Partial";267916
106;"FV";7379;NA;"Somerst";8;2000;2000;975;873;1848;975;1;0;2;1;7;2;592;2010;"Normal";254000
107;"RL";4420;NA;"Greens";8;1980;1980;788;0;788;728;1;0;1;0;3;2;484;2010;"Normal";155000
108;"RL";3880;NA;"Greens";8;1978;1978;1226;0;1226;1226;1;0;1;0;4;2;484;2010;"Normal";206000
109;"RL";13517;NA;"Sawyer";6;1976;2005;725;754;1479;725;0;0;2;1;6;2;475;2010;"Normal";130500
110;"FV";8000;NA;"Somerst";7;2002;2002;1492;0;1492;1492;1;0;2;0;6;2;596;2010;"Normal";230000
111;"RL";10456;NA;"NWAmes";6;1967;1967;1829;0;1829;1829;1;0;2;0;8;2;535;2010;"Normal";218500
112;"RL";10791;NA;"NWAmes";6;1993;1993;1280;1215;2495;1280;1;0;2;1;9;2;660;2010;"Normal";243500
113;"RL";10603;NA;"NWAmes";6;1977;2001;1610;0;1610;1610;1;0;2;0;6;2;480;2010;"Normal";205000
114;"RL";18837;NA;"NWAmes";6;1978;1978;1287;604;1891;1224;0;1;3;0;7;2;678;2010;"Normal";212500
115;"RL";10421;NA;"NWAmes";7;1988;1988;980;734;1714;980;0;0;2;1;7;2;496;2010;"Normal";196500
116;"RL";9360;NA;"NWAmes";6;1972;2006;1381;0;1381;1161;1;0;1;1;5;2;676;2010;"Normal";197500
117;"RL";9600;NA;"NWAmes";6;1971;1971;930;715;1645;715;0;0;1;2;7;2;441;2010;"Normal";171000
118;"RL";9600;NA;"NAmes";5;1966;1966;1232;0;1232;1232;1;0;1;1;6;2;490;2010;"Normal";142250
119;"RL";9790;NA;"NWAmes";6;1963;1963;1328;0;1328;1328;1;0;1;1;6;2;528;2010;"Normal";143000
120;"RL";9320;NA;"NAmes";4;1959;1959;1225;0;1225;950;1;0;1;1;6;0;0;2010;"Normal";128950
121;"RL";9900;NA;"NAmes";5;1966;1966;1209;0;1209;1209;1;0;1;0;6;2;504;2010;"Normal";159000
122;"RL";9680;NA;"NAmes";5;1967;1967;1510;0;1510;1510;1;0;2;0;6;2;517;2010;"Normal";178900
123;"RL";10600;"Pave";"NAmes";6;1964;1964;1131;644;1775;533;0;0;2;0;8;2;480;2010;"Family";136300
124;"RL";14112;NA;"NAmes";5;1964;1964;1152;0;1152;1152;1;0;1;0;6;2;484;2010;"Normal";180500
125;"RL";8800;NA;"NAmes";6;1963;1963;1054;0;1054;936;1;0;1;0;6;2;480;2010;"Abnorml";137500
126;"RL";13260;NA;"NAmes";5;1962;2001;1728;0;1728;1728;2;0;2;0;10;0;0;2010;"Abnorml";84900
127;"RL";9717;NA;"NAmes";5;1950;1996;1078;0;1078;1078;1;0;1;0;5;1;240;2010;"Normal";142125
128;"RL";9724;NA;"NAmes";5;1952;2002;1929;532;2461;1140;0;0;2;0;7;2;400;2010;"Normal";197600
129;"RL";17360;NA;"NAmes";6;1949;1950;1019;537;1556;782;0;0;2;0;6;2;470;2010;"Normal";172500
130;"RL";7207;NA;"BrkSide";5;1958;2008;858;0;858;858;1;0;1;0;4;0;0;2010;"Normal";116500
131;"RL";5350;NA;"BrkSide";3;1940;1966;1306;0;1306;728;0;0;1;0;6;0;0;2010;"Normal";76500
132;"RL";9920;NA;"NAmes";5;1954;1954;1063;0;1063;1056;1;0;1;0;6;1;280;2010;"Normal";128000
133;"RL";9600;NA;"NAmes";6;1955;1972;1520;0;1520;1156;1;0;1;0;7;1;364;2010;"Normal";153000
134;"RL";7800;NA;"NAmes";5;1954;1954;1268;0;1268;1268;0;0;1;0;7;1;244;2010;"Normal";132000
135;"RL";11380;NA;"NAmes";6;1966;2008;1128;0;1128;1080;1;0;1;0;5;1;315;2010;"Normal";178000
136;"RL";11600;NA;"NAmes";5;1960;1960;1105;1169;2274;1105;0;0;2;0;12;2;480;2010;"Normal";154300
137;"RL";19900;NA;"NAmes";7;1970;1989;2207;0;2207;1947;1;0;2;0;7;2;576;2010;"Normal";180000
138;"RL";16492;NA;"NAmes";6;1966;2002;1888;0;1888;1517;0;0;2;1;6;2;578;2010;"Normal";190000
139;"RL";8267;NA;"NAmes";5;1958;1958;1604;0;1604;1604;0;0;2;0;8;2;576;2010;"Normal";135000
140;"RL";8197;NA;"NAmes";7;2003;2009;1480;0;1480;1480;1;0;2;0;7;2;620;2010;"Normal";214000
141;"RL";8050;NA;"NAmes";5;1959;1959;1143;0;1143;1143;1;0;1;0;6;1;308;2010;"Normal";136000
142;"RL";10552;NA;"NAmes";5;1959;1959;1700;0;1700;1398;0;1;1;1;6;2;447;2010;"Normal";165500
143;"RL";8400;NA;"NAmes";5;1957;1957;1314;0;1314;1314;1;0;1;0;5;1;294;2010;"Normal";145000
144;"RL";8760;NA;"NAmes";6;1959;1959;1194;0;1194;1194;1;0;1;0;6;1;312;2010;"Normal";148000
145;"RL";12160;NA;"NAmes";5;1959;1959;1188;0;1188;1188;1;0;1;0;6;2;531;2010;"Abnorml";142000
146;"RL";9300;NA;"NAmes";5;1960;1960;1264;0;1264;1268;1;0;1;0;6;2;461;2010;"Normal";167500
147;"RL";10725;NA;"NAmes";5;1959;1959;1206;0;1206;1206;0;0;1;0;6;1;312;2010;"Normal";108538
148;"RL";10032;NA;"NAmes";6;1959;1959;1580;0;1580;1244;1;0;1;1;6;2;440;2010;"Normal";159500
149;"RL";8382;NA;"NAmes";4;1956;1956;832;505;1337;832;0;0;1;0;5;1;263;2010;"Normal";108000
150;"RL";10950;NA;"NAmes";5;1952;1952;1064;0;1064;864;0;1;1;0;4;1;318;2010;"Normal";135000
151;"RL";10895;NA;"NAmes";5;1955;1955;972;0;972;972;0;0;1;0;5;1;305;2010;"Normal";122500
152;"RL";13587;NA;"NAmes";5;1958;1958;988;0;988;988;1;0;1;0;5;1;264;2010;"Abnorml";119000
153;"RL";7922;NA;"NAmes";5;1953;2007;1057;0;1057;1057;1;0;1;0;5;1;246;2010;"Abnorml";109000
154;"RL";7898;NA;"NAmes";4;1920;1994;985;0;985;576;0;1;1;0;4;2;676;2010;"Normal";105000
155;"RL";7200;NA;"NAmes";5;1955;2007;827;0;827;0;0;0;1;0;5;1;392;2010;"Normal";107500
156;"RL";10200;NA;"NAmes";5;1954;2003;1086;0;1086;1086;1;0;1;0;6;2;490;2010;"Normal";144900
157;"RL";5868;NA;"NAmes";5;1956;2000;936;0;936;936;1;0;1;0;4;1;308;2010;"Normal";129000
158;"RL";17503;NA;"NAmes";6;1948;1950;912;546;1458;912;0;1;1;0;6;1;330;2010;"Abnorml";97500
159;"RL";6979;NA;"OldTown";6;1980;1980;1056;0;1056;1056;2;0;0;0;4;2;576;2010;"Normal";144000
160;"RL";9830;NA;"NAmes";5;1959;2006;1287;0;1287;1063;1;0;1;0;7;2;576;2010;"Normal";162000
161;"RL";11275;NA;"NAmes";7;1967;2007;1898;1080;2978;710;0;0;2;1;11;2;564;2010;"Normal";242000
162;"RL";8064;NA;"NAmes";6;1948;2004;816;408;1224;816;1;0;1;0;5;1;280;2010;"Normal";132000
163;"RL";7500;NA;"NAmes";5;1959;1994;1246;0;1246;1246;1;0;1;1;6;1;305;2010;"Normal";154000
164;"RL";8520;NA;"NAmes";5;1952;1952;910;475;1385;910;0;0;2;0;6;2;720;2010;"Normal";166000
165;"RL";7200;NA;"NAmes";5;1951;2000;900;0;900;900;0;1;1;0;5;2;576;2010;"Normal";134800
166;"RL";10000;NA;"NAmes";6;1962;1962;1116;0;1116;1116;0;0;1;1;5;2;440;2010;"Normal";160000
167;"RL";7635;NA;"NAmes";5;1960;1960;1175;0;1175;1175;0;0;1;1;6;2;484;2010;"Normal";148000
168;"RL";9760;NA;"NAmes";6;1963;1984;1395;0;1395;1395;1;0;1;0;7;2;440;2010;"Normal";192000
169;"RL";7700;NA;"NAmes";6;1966;1966;1051;788;1839;756;0;0;1;1;7;2;442;2010;"Normal";155000
170;"RM";4800;NA;"OldTown";4;1900;1954;1157;687;1844;709;1;0;1;0;9;1;240;2010;"Abnorml";80400
171;"RM";8800;"Grvl";"OldTown";4;1910;2004;792;348;1140;576;0;0;1;0;7;0;0;2010;"Normal";96500
172;"RM";4485;"Grvl";"OldTown";5;1920;1950;936;0;936;936;1;0;1;0;5;0;0;2010;"Normal";109500
173;"RM";8960;"Grvl";"OldTown";5;1927;1950;1028;0;1028;1008;0;0;1;0;5;2;360;2010;"Normal";115000
174;"RM";5805;"Grvl";"OldTown";5;1957;1957;1347;0;1347;1347;1;1;1;0;6;2;551;2010;"Normal";143000
175;"RM";5790;NA;"OldTown";3;1915;1950;840;765;1605;840;0;0;2;0;8;1;379;2010;"Normal";107400
176;"RM";4608;NA;"OldTown";4;1945;1950;747;0;747;747;0;0;1;0;4;1;220;2010;"Normal";80000
177;"RM";7200;NA;"OldTown";5;1940;1992;804;0;804;788;1;0;1;0;4;1;240;2010;"Abnorml";119000
178;"RM";5500;NA;"OldTown";5;1929;2001;926;0;1316;926;1;0;1;0;6;2;484;2010;"Normal";130000
179;"RM";6900;NA;"OldTown";6;1938;2000;827;424;1251;827;0;0;1;0;6;1;240;2010;"Normal";119000
180;"RM";11851;NA;"OldTown";5;1948;2009;1027;606;1633;1027;0;0;1;0;7;1;240;2010;"Normal";129000
181;"RM";8239;NA;"OldTown";5;1920;1962;1060;185;1245;1008;0;0;1;0;6;1;315;2010;"Normal";100000
182;"RM";9656;NA;"OldTown";2;1923;1970;832;0;832;678;0;0;1;0;5;2;780;2010;"Abnorml";12789
183;"RM";8520;NA;"OldTown";6;1928;2003;720;0;720;624;0;0;1;0;5;2;484;2010;"Normal";105900
184;"RM";9600;"Grvl";"OldTown";8;1900;2003;930;636;1566;930;0;0;2;0;7;1;288;2010;"Abnorml";150000
185;"RM";10800;NA;"OldTown";5;1915;1950;966;686;1652;686;1;0;2;0;7;1;416;2010;"Normal";139000
186;"RM";9000;"Grvl";"OldTown";8;1890;2002;1157;1111;2268;346;0;0;3;0;7;2;624;2010;"Normal";240000
187;"RM";9045;NA;"OldTown";5;1910;1950;1128;1128;2256;840;0;0;2;0;12;0;0;2010;"Abnorml";76500
188;"RM";7407;NA;"OldTown";6;1957;1996;1236;0;1236;912;1;0;1;0;6;2;923;2010;"Normal";149700
189;"RM";7740;NA;"OldTown";4;1910;1950;741;622;1363;622;0;0;1;0;6;2;528;2010;"Normal";125500
190;"RM";11340;NA;"OldTown";4;1885;1950;1246;1044;2290;777;0;0;2;0;11;2;560;2010;"Normal";122500
191;"RM";10560;NA;"OldTown";6;1922;1994;868;602;1470;738;0;0;1;1;6;2;624;2010;"Normal";140750
192;"RM";5830;NA;"BrkSide";5;1950;1997;1030;582;1612;988;0;0;1;1;7;1;363;2010;"Normal";128500
193;"RL";7793;NA;"BrkSide";7;1922;2005;1160;908;2068;1108;0;0;1;1;8;1;315;2010;"Normal";209500
194;"RM";5000;NA;"BrkSide";4;1925;1950;765;0;765;765;1;0;1;0;4;1;200;2010;"Normal";87000
195;"RM";6000;NA;"BrkSide";6;1939;1950;608;524;1132;608;1;0;1;0;5;1;240;2010;"Abnorml";134000
196;"RM";6000;NA;"BrkSide";6;1940;1950;848;348;1196;572;0;1;1;1;6;2;576;2010;"Normal";128000
197;"RM";6360;NA;"BrkSide";5;1942;1950;955;498;1453;835;0;0;1;1;7;1;240;2010;"Normal";132000
198;"RM";6000;NA;"BrkSide";6;1948;1950;780;636;1416;780;0;0;1;1;6;1;312;2010;"Normal";139900
199;"RM";6240;NA;"BrkSide";5;1936;1980;548;492;1040;528;0;0;1;0;5;2;624;2010;"Normal";123900
200;"RM";6240;NA;"BrkSide";5;1930;1950;928;608;1536;928;0;0;2;0;7;2;480;2010;"Normal";138400
201;"RM";6120;NA;"OldTown";6;1923;1950;1068;0;1068;1124;1;0;1;0;5;1;288;2010;"Normal";109500
202;"RM";10300;NA;"OldTown";7;1921;1950;902;808;1710;576;0;0;2;0;9;2;480;2010;"Normal";140000
203;"RM";8094;"Grvl";"OldTown";4;1915;1950;888;1074;1962;888;0;0;1;1;9;2;572;2010;"Normal";149500
204;"RM";12900;"Grvl";"OldTown";6;1912;2009;780;780;1560;780;0;0;1;1;7;0;0;2010;"Normal";159900
205;"RM";3068;"Grvl";"OldTown";6;1920;1993;662;662;1324;662;0;1;1;0;6;1;180;2010;"Normal";122000
206;"RM";8472;NA;"IDOTRR";5;1963;1963;816;0;816;816;1;0;1;0;5;2;516;2010;"Normal";110000
207;"RM";5600;NA;"IDOTRR";4;1930;1950;372;720;1092;0;0;0;2;0;7;0;0;2010;"Normal";55000
208;"RM";7630;NA;"OldTown";5;1900;1996;1032;780;1812;360;0;0;2;0;8;2;672;2010;"Normal";140000
209;"RL";24090;NA;"ClearCr";7;1940;1950;1207;1196;2403;1032;0;0;2;0;10;1;349;2010;"Normal";244400
210;"RL";15263;NA;"ClearCr";5;1959;1959;1675;0;1675;1422;0;0;2;0;8;1;365;2010;"Normal";173000
211;"RL";10632;NA;"ClearCr";5;1917;1950;725;499;1224;689;0;0;1;1;6;1;180;2010;"Normal";107500
212;"RL";9900;NA;"SWISU";5;1915;1950;1212;180;1392;1212;1;0;1;0;6;0;0;2010;"Normal";100000
213;"RL";6001;NA;"SWISU";6;1940;1950;600;319;919;600;0;0;1;0;5;1;231;2010;"Normal";95000
214;"C (all)";6449;NA;"SWISU";4;1907;1950;942;942;1884;707;0;0;1;1;7;0;0;2010;"Abnorml";93369
215;"RH";6048;NA;"SWISU";5;1910;1950;936;744;1680;856;1;0;2;0;7;2;450;2010;"Normal";114900
216;"RL";6342;NA;"Sawyer";5;1875;1996;780;240;1020;780;0;0;1;0;6;0;0;2010;"Normal";94000
217;"RL";10773;NA;"Sawyer";4;1967;1967;1832;0;1832;1832;2;0;2;0;8;0;0;2010;"Normal";136000
218;"RL";10778;NA;"Sawyer";4;1968;1968;1768;0;1768;1768;0;0;2;0;8;0;0;2010;"Normal";136500
219;"RL";11625;NA;"Sawyer";5;1965;1965;1039;0;1039;1039;1;0;1;1;6;2;504;2010;"Normal";131500
